smarts_reaction
[*:1][C:2](=[O:3])[C:4](F)(F)F>>[*:1][C:2](=[O:3])[C:4]1[C][C][C][C][C]1
[*:1]C(=O)[C:2][C:3][N:4]1[C][C:6]CC[C:5]1>>[*:1][C:2][C:3][N:4]([C:5])[C:6]
[*:1]C(=O)[C:2][C:3][N:4]1C[C:5][C:6][C:7][C:8]1>>[*:1][C:2][C:3][N:4]1[C:5][C:6][C:7][C:8]1
[*:1]C(=O)[C:2][C:3][N:4]1[C:5][C:6][C:7][C:8][C:9]1>>[*:1][C:2][C:3][N:4]1[C:5][C:6][C:7][C:8][C:9]1
[*:1]C(=[O:7])[C:2][C:3][N:4]1[C:5][C:6]C[C:8][C:9]1>>[*:1][C:2][C:3][N:4]1[C:5][C:6][O:7][C:8][C:9]1
[*:1]C(=O)[C:2][C:3][N:4]1[C:5][C:6]C[C:8][C:9]1>>[*:1][C:2][C:3][N:4]1[C:5][C:6][S][C:8][C:9]1
[*:1][C](=O)[C:2][C:3][N:4]1[C:5][C:6][C:8][C:9][C:10]1>>[*:1][C:2][C:3][N:4]1[C:5][C:6][N]([C:8])[C:9][C:10]1
[*:1][C:7](=O)[C:2][C:3][N:4]1[C:5][C:6][C:10][C:11][C:12]1>>[*:1][C:2][C:3][N:4]1[C:5][C:6][C:7]([N]2[C][C:10][C:11][C:12]2)[C][C]1
[*:1][C:2](=O)[C:3][C:4][N:5]1[C:6][C:7][C:11][C:12][C:13]1>>[*:1][C:2][C:3][C:4][N:5]1[C:6][C:7][C]([N]2[C][C:11][C:12][C:13]2)[C][C]1
[*:1][C:7](=O)[C:2][C:3][N:4]1[C:5][C:9][C:11][C:12][C:14]1>>[*:1][C:2][C:3][N:4]1[C:5][C][C:7]2([C][C:9][N]([C:11])[C:12][C]2)[C:14]1
[*:1][C:7](=O)[C:2][C:3][N:4]1[C:5][C:9][C:11][C:12][C:14]1>>[*:1][C][C:2][C:3][N:4]1[C:5][C][C:7]2([C][C:9][N]([C:11])[C:12][C]2)[C:14]1
[*:1][C:2](=O)[C:3][C:4][N:5]1[C][C:6]CC[C:7]1>>[*:1][C:2][C:3][C:4][N:5]([C:6])[C:7]
[*:1][C:2](=O)[C:3][C:4][N:5]1[C:6][C:7][C:9][C:10][C:11]1>>[*:1][C:2][C:3][C:4][N:5]1[C:6][C:7][N]([C:9])[C:10][C:11]1
[*:1][C:5](=[O:4])[C:7][C:3][N:8]1[C:9][C:10][C:12][C:13][C:14]1>>[*:1][C][C:3][O:4][C:5](=[O])[C:7][N:8]1[C:9][C:10][N]([C:12])[C:13][C:14]1
[*:8][O:7][S:4](=[O:5])(=[O:6])[N-:3][C:2]([*:1])=O>>[*:1][C:2][N:3][S:4](=[O:5])(=[O:6])[O:7][*:8]
[*:8][O:3][S:4](=[O:5])(=[O:6])[N-:7][C:2]([*:1])=O>>[*:1][C:2][O:3][S:4](=[O:5])(=[O:6])[N:7][*:8]
[*:1]/[C:2]=[C:4]/[C:5]>>[*:1][C:2]1[C][C:4]1[C:5]
[*:1][O:2][C:3]([*:4])=O>>[*:1][O:2][C:3]([*:4])[F]
[*:1][n:2]1[c:3][c:4][c:5][c:6]1>>[*:1][N:2]1[C:3][C:4][C:5][C:6]1
[*:1][O:4][C:3]([c:6]1[c:7][c:8][c:9][c:10][c:11]1)[c:12]1[c:13][c:14][c:15][c:16][c:17]1>>[*:1][N]([C:3](=[O:4])[N][C:6]1[C:7][C:8][C:9][C:10][C:11]1)[C:12]1[C:13][C:14][C:15][C:16][C:17]1
[C:1][C@H:2]1[O:3][C:4](=[O:5])[C:6]=[C:8][C@H:9]1[O:10]>>[C:1][C@H:2]1[O:3][C:4](=[O:5])[C:6][C@H]([O:8])[C@H:9]1[O:10]
[C:7][C@H:6]1[O:9][C:2](=[O:1])[C:3]=[C:4][C@H:10]1[O:11]>>[O:1]=[C:2]1[C:3][C@H:4]2[O][C@@H:6]([O:7])[C]([O:9]1)[C:10]2[O:11]
[C:1]C(=[O:4])[O:3]>>[C:1][S]([N:3])(=[O:4])=[O]
[C:1]C(=O)O>>[C:1]1[N]=[N][N]=[N]1
[*:1][S:2]([N:3])(=[O:4])=O>>[*:1][S:2]([N:3])(=[O:4])=[N][C][N]
[*:1][S:2]([*:3])(=[O:4])=O>>[*:1][S:2]([*:3])(=[O:4])=[N][C][C][N]
[*:1][C:2][C:3](=[O:4])[N:5]1c2[c:7][c:8]c[c:9][c]2[C:10][C:6]1[C]>>[*:1][C:2][C:3](=[O:4])[N:5][C:6]1[C:7][C:8][C:9][C:10]1
[*:1][N:2][C:3](=[N:4])[N:5]1[C:6][C:7][N:8][C:10][C:11]1>>[*:1][N:2][C:3](=[N:4])[N:5]1[C:6][C:7][N:8]([C])[C:10][C:11]1
[*:1][C:2]([*:3])=[O:5]>>[*:1][C:2]1([*:3])[C][O:5][C]1
[O:1]=[c:2]1[c:3]2[c:4]([c:5]1=[O:6])[N:7][C:8][C:9][C][N]2>>[O:1]=[C:5]([O:6])[C@H:4]1[C:3][C:2][C:9][C:8][N:7]1
[*:1][N:2][N:3][c:4]1[c:5][c:6][c:7][c:8][c:9]1>>[*:1][N:2][N:3][C:4]1[C:5][C:6][C:7][C:8][C:9]1
[*:1][N:2][N:3][c:4]1c[c:9][c:8][c:10][c:7]1>>[*:1][N:2][N:3][C:4](=[O])[O][C:7]([C:8])([C:9])[C:10]
[*:1][c:2]1[c:4][c:5][c:7]s1>>[*:1][C:2][N]1[C:4][C:5][O][C:7][C]1
[*:1][N:2]1[C:7][C:6][c:4]2cccc[c:3]21>>[*:1][N:2]1[C:3][C:4][O][C:6][C:7]1
[*:1][C:2](=O)[O:3]>>[*:1][C:2]([O:3])[C]([F])([F])[F]
[*:1][c:2]1[c:3][c:4][c:5][o:6]1>>[*:1][C:2]1[C:3][C:4][C:5][O:6]1
[*:1][S:2]([N:5])(=[O:3])=[O:4]>>[*:1][S:2](=[O:3])(=[O:4])[N:5][C]
[*:1][N:2][c:3]1[c:4][c:5][c:6][c:7][c:8]1>>[*:1][N:2][C:3]1[C:4][C:5][C:6][C:7][C:8]1
[*:1][N][c:3]1[c:4][c:5][c:6][c:7][c:8]1>>[*:1][N:3]1[C:4][C:5][C:6][C:7][C:8]1
[*:1][N:2][c]1[c:3][c:4]c[c:6][c:7]1>>[*:1][N:2]1[C:3][C:4][O][C:6][C:7]1
[*:1][N:2][c:3]1[c][c:4]c[c:5][c]1>>[*:1][N:2][C:3]1[C:4][C:5]1
[C:1][C:3][C:4][C:5][N:6][C:7]([N:8])=[O:9]>>[C:1][C][C:3][C:4][C:5][N:6][C:7]([N:8])=[O:9]
[C:1][C:2][C:3][C:4][N:5][C:7]([N:8])=[O:9]>>[C:1][C:2][C:3][C:4][N:5]([C])[C:7]([N:8])=[O:9]
[C:1][C:2][C:3][C:4][N:5][C:7]([N:9])=[O:8]>>[C:1][C:2][C:3][C:4][N:5]([C])[C:7](=[O:8])[N:9][C]
[C:8][C:7][C:6][C:5][N:4][C:2]([N:1])=[O:3]>>[N:1][C:2](=[O:3])[N:4]1[C:5][C:6][C:7][C:8][C]1
[C:1][C:2][C:3][C:4][N:5][C:6]([N:7])=[O:8]>>[C:1][C:2]1[C:3][C:4][N:5]([C:6]([N:7])=[O:8])[C][C]1
[C:16]=[C:3]1[C:4][C:5][C:6]2[C:7]([C:8])([C:9])[C@H:10]([O:11])[C:12][C:13][C@@:14]2([C:15])[C@@H:2]1[C:1]>>[C:1][C@@H:2]1[C@@:3]2([C:4][C:5][C:6]3[C:7]([C:8])([C:9])[C@H:10]([O:11])[C:12][C:13][C@@:14]13[C:15])[C:16][O]2
[*:1][C:2]([*:3])=[C:4]>>[*:1][C:2]1([*:3])[C:4]O1
[*:1][C:2]([*:3])=[C:4]>>[*:1][C:2]([*:3])[C:4]
[C:4]=[C:3]1[C:5][C:6][C:7]2[C:8]([C:9])([C:10])[C@H:11]([O:12])[C:13][C:14][C@@:15]2([C:16])[C@@H:2]1[C:1]>>[C:1][C@@H:2]1[C@@H:3]([C:4])[C:5][C:6][C:7]2[C:8]([C:9])([C:10])[C@H:11]([O:12])[C:13][C:14][C@@:15]12[C:16]
[C:1]=[C:2][C:3]1=[C:8][C:7][O:10][C:4]1=[O:5]>>[C:1][C:2][C:3]1[C:4](=[O:5])[N]([C:7])[C:8][C@H]1[O:10]
[*:4][C:5](=O)[N:2]([*:1])[C:3]>>[*:1][N:2][C:3]([*:4])[C:5]([F])([F])[F]
[C:1][C:2](=[O:3])[N:4]1[C:7][C:8][N:9]([C:10](=[O:11])[C:12]2[C:13][C:14]2)[C:15][C:5]1>>[C:1][C:2](=[O:3])[N:4]1[C:5][C]2([C:7]1)[C:8][N:9]([C:10](=[O:11])[C:12]1[C:13][C:14]1)[C:15]2
[C:1][C:2](=[O:3])[N:4]1[C:5][C:6]N(C(=O)C2CC2)[C:7][C:8]1>>[C:1][C:2](=[O:3])[N:4]1[C:5][C:6][C:7][C:8]1
[N:10][c:9]1[c:8][c:7][c:6]([C:4](=[O:5])[O:3])[c:12][c:11]1>>[C:1][C][O:3][C:4](=[O:5])[N:6]1[C:7][C:8][C:9]([N:10])[C:11][C:12]1
[C:1][C:2][N:3][C:4](=[O:5])[c:6]1[c:7][c:8][c:9][c:10][c:11]1>>[C:1][C:2][N:3][C:4](=[O:5])[C:6]1[C:7][C:8][C:9][C:10][C:11]1
[*:1][C:2](=[O:3])[C@@H:4]([C:5])[C:7][C:8]>>[*:1][C:2](=[O:3])[C:4]([C:5])([C])[C:7][C:8]
[*:1][C:2][C:3][c:5]1[c:6][c:7][c:8][c:9][c:10]1>>[*:1][C:2][C:3]([C])[C:5]1[C:6][C:7][C:8][C:9][C:10]1
[*:1]CC[c:2]1[c:3][c:4][c:5][c:6][c:7]1>>[*:1][C:2]1[C:3][C:4][C:5][C:6][C:7]1
[*:1][C:2](=O)[O:5]>>[*:1][C:2][C][C][C:5]
[*:1]N[c:4]1[c:2]c[c:6]([O:3])[c:11]([C:10][N:9]([C:8][C:7])[C:12][C:13])[c:5]1>>[*:1][C@@H:2]([O:3])[C@@H:4]1[C:5][C@@H:6]2[C:7][C:8][N:9]1[C:10][C@@H:11]2[C:12]=[C:13]
[*:1][C:2]([*:3])=O>>[*:1][C:2]([*:3])([F])[F]
[*:1][C:2]([*:3])=[O:5]>>[*:1][C:2]1([*:3])[C][O:5]1
O=[C:2]1[C:4][C:5][C:6][C:7]1>>[F][C:2]1([F])[C:4][C:5][C:6][C:7]1
[O:1]=[C:2]1[C:3][C:4][C:5][C:6]1>>[O:1][C:2]1[C:3][C:4][C:5][C:6]1
[O:6]=[C:4]1[C:5][C:1][C:2][C:3]1>>[C:1]1[C:2][C:3][C:4]2([C:5]1)[O:6][C][C][O]2
[*:1]C(=[O:3])[N:5]1[C:6][C:7][N:8][C:9][C:10]1>>[*:1][S](=[O:3])(=[O])[N:5]1[C:6][C:7][N:8][C:9][C:10]1
[*:8][N:4][C:2]([*:1])=[O:3]>>[*:1][C:2](=[O:3])[N:4]1[C][C][C]([*:8])[C][C]1
[*:1][C:2](=[O:3])[N:4]1[C:9][C:10][N:11]([C:12][C:13])[C:14][C:15]1>>[*:1][C:2](=[O:3])[N:4]1[C][C][C]([N]2[C:9][C:10][N:11]([C:12][C:13])[C:14][C:15]2)[C][C]1
[*:1][C:3](=[O:6])O>>[*:1][S][C:3][C][C](=[O:6])[N]([C])[C]
[*:1][C:3](=[O:7])[O:8]>>[*:1][S][C:3][C]1([C][C](=[O:7])[O:8])[C][C]1
[*:1][C:3](=[O:7])[O:10]>>[*:1][O][C:3]([C])([C])[C](=[O:7])[O][C]([C:10])[C]
[C:7][N:6][C:4]([C:1])=[O:5]>>[C:1][C][C][C:4](=[O:5])[N:6][C:7]
[C:1][C:6]1=N[C:2][C:4]N1>>[C:1][C@@H:2]1[C][C:4][O][C:6]1=[O]
[*:1][C:2]#N>>[*:1][C:2]([O])[O]
[*:1][c:5]1[c:11][c:3][c:4][c:7](S([N:2])(=O)=[O:8])[c:6]1>>[*:1][N:2]1[C:3][C:4][C:5]2([C:6][C:7][O:8][C][C]2)[C:11]1
[*:1][c:4]1[c:10][c:8][c:6][c:5](S([N:2])(=O)=[O:7])[c:3]1>>[*:1][N:2]1[C:3][C:4]2([C:5][C:6][O:7][C:8][C]2)[C:10][C@H]1[C]
[*:1][c:4]1[c:10][c:8][c:6][c:5](S([N:2])(=O)=[O:7])[c:3]1>>[*:1][N:2]1[C:3][C:4]2([C:5][C:6][O:7][C:8][C]2)[C:10][C@@H]1[C]
[*:1][c:10]1[c:12][c:3][c:6][c:5](S([N:2])(=O)=[O:11])[c:8]1>>[*:1][N:2]1[C:3][C][C:5]2([C:6][C]1)[C:8][N][C:10](=[O:11])[C:12]2
[*:1][c:8]1[c:9][c:6][c:5][c:4](S([N:2])(=O)=[O:7])[c:3]1>>[*:1][N:2]1[C:3][C:4]2([C:5][C:6][O:7][C:8]2)[C:9]1
[*:1][c:8]1[c:9][c:3][c:4][c:5](S([N:2])(=O)=[O:7])[c:6]1>>[*:1][N:2]1[C:3][C:4][C:5]2([C:6][O:7][C:8]2)[C:9]1
[*:1][c:7]1[c:8]c[c:5][c:4](S([N:2])(=O)=[O:6])[c:3]1>>[*:1][N:2]1[C:3][C:4]2([C:5][O:6][C:7]2)[C:8]1
[*:1][c:4]1[c:10][c:8][c:6][c:5](S([N:2])(=O)=[O:7])[c:3]1>>[*:1][N:2]1[C:3][C:4]2([C:5][C:6][O:7][C:8][C]2)[C:10]1
[*:1][c:5]1[c:13][c:4][c:6][c:7]([S:8]([N:2])(=[O:9])=[O:10])[c:3]1>>[*:1][N:2]1[C:3][C:4][C:5]2([C:6][C:7][S:8](=[O:9])(=[O:10])[C][C]2)[C:13]1
[*:1][c:6]1[c:3][c:4][c:5][c:11]([S:8]([N:2])(=[O:9])=[O:10])[c:7]1>>[*:1][N:2]1[C:3][C:4][C:5]2([C:6]1)[C:7][S:8](=[O:9])(=[O:10])[C:11]2
[*:1][c:4]1[c:3][c:10][c:6][c]([S:7]([N:2])(=[O:8])=[O:9])[c:5]1>>[*:1][N:2]1[C:3][C:4]2([C:5]1)[C:6][S:7](=[O:8])(=[O:9])[C:10]2
[*:1]c1[c:5][c:4][c:3]([O:7][C:6])[c:2]c1>>[*:1][C:2][C:3]1[C:4][C:5][C:6][O:7]1
[*:1][c:4]1[c:5][c:6]c([O:8]C)c[c:3]1>>[*:1][N]1[C:3][C:4][C:5][C:6][S]1(=[O:8])=[O]
[*:1]c1[c:3][c:4]c(O[C:6])[c:7][c:8]1>>[*:1][N]1[C:3][C:4][N]([C:6])[C:7][C:8]1
[*:1][c:2]1[c:3]c[c:6][c:5](Cl)[c:8]1>>[*:1][C:2]1[C:3][N]([C:5]([C:6])=[O])[C:8]1
[*:1][c:2]1[c:3]c[c:6][c:4](Cl)[c:10]1>>[*:1][C:2]1[C:3][C:4]([O])([C:6]([F])([F])[F])[C:10]1
[*:1][C:2](=[O:9])[C:5]1[C:6][C:7][C:8][C:10][C:11]1>>[*:1][C:2]([F])([F])[C:5]1[C:6][C:7][C:8]([O:9])[C:10][C:11]1
[*:1][O:2][C@H:3]([F:4])[C:5](=[O:6])[O:9]>>[*:1][O:2][C@H:3]([F:4])[C:5](=[O:6])[O][C]([C:9])[C]
[*:1][C](=[O:5])[O:4]>>[*:1][N][S]([C:4])(=[O:5])=[O]
[*:1][C:2](=[O:5])[O:4]>>[*:1][C:2][S]([N:4])(=[O:5])=[O]
[*:10]O[C:7](=[O:8])[N:2]1[C:3][C:4][C:5][C:6]([*:1])[C:14]1>>[*:1][N:2]1[C:3][C:4][C:5][C:6]([C:7](=[O:8])[N]([*:10])[C]2[C][C]2)[C:14]1
[*:1]C(=[O:4])[C]1C[C:3]1>>[*:1][S]([C:3])(=[O:4])=[O]
[*:1][c:2]1[c:3][c:4]c(C)[c:6][c:7]1>>[*:1][C:2]1[C:3][C:4][O][C:6][C:7]1
N1[C:6][C:7][C](-[*:1])=[C:3][C:4]1>>[*:1][N]1[C:3][C:4][O][C:6][C:7]1
[*:1]C1=[C:3][C:4][N:2][C:5][C:6]1>>[*:1][N:2]1[C:3][C:4][C:5][C:6]1
[*:1]C1=C[C:5][N:2][C:3][C:4]1>>[*:1][N:2]1[C:3][C:4][C:5]1
[N:5]1[C:4][C:3]=[C:2](-[*:1])[C:9][C:8]1>>[*:1][N:2]1[C:3][C:4][C:5][N]([C])[C:8][C:9]1
[N:5]1[C][C:3]=[C:2](-[*:1])[C:9][C:8]1>>[*:1][N:2]1[C:3][C:5][N]([C])[C:8][C:9]1
[*:1][C:2][C@@H:3]1[C:5][C:6][N:7][C:8]1=[O:9]>>[*:1][C:2][C@@H:3]1[C][C:5][C:6][N:7][C:8]1=[O:9]
[*:1][C:2][C:3]#[C:4]>>[*:1][C:2][C:3]1[C:4][C]1
[*:1][O:2][C:8]1[C:7][C:6][N:5]([c:3]2n[c:11]([*:10])[n:9][o:4]2)[C:14][C:13]1>>[*:1][O:2][C:3](=[O:4])[N:5]1[C:6][C:7][C:8]([N:9]([*:10])[C:11][C])[C:13][C:14]1
[*:10][O:9][C:3]1[C:4][C:5][N:6]([c:7]2nc([*:1])[n][o:8]2)[C:11][C:12]1>>[*:1][N][C:3]1[C:4][C:5][N:6]([C:7](=[O:8])[O:9][*:10])[C:11][C:12]1
[*:1][O:2][C:8]1[C:7][C:6][N:5]([c:3]2n[c:11]([*:10])[n:9][o:4]2)[C:13][C:12]1>>[*:1][O:2][C:3](=[O:4])[N:5]1[C:6][C:7][C:8]([N:9]([*:10])[C:11])[C:12][C:13]1
[*:10][O:9][C:8]1[C:7][C:6][N:5]([c:3]2nc([*:1])n[o:2]2)[C:12][C:11]1>>[*:1][O:2][C:3](=[O])[N:5]1[C:6][C:7][C:8]([O:9][*:10])[C:11][C:12]1
[*:1][C:2]1[C:3][C:4][N:5]([C:6][C:7](=[O:8])[N:9]2[C:10][C:11][C:13][C:14]2)[C:15][C:16]1>>[*:1][C:2]1[C:3][C:4][N:5]([C:6][C:7](=[O:8])[N:9]2[C:10][C:11][C][C:13][C:14]2)[C:15][C:16]1
[*:4]N[C:2]([*:1])=[O:3]>>[*:1][C:2][O:3][*:4]
[*:1][N:2][C]([C:3])=O>>[*:1][N:2][C:3]
[*:1][N:2]C([C:4])=[O:5]>>[*:1][N:2][S]([C:4])(=[O:5])=[O]
[*:1][N:2]C([C:4])=[O:6]>>[*:1][N:2][S]([C:4])([N])=[O:6]
[*:1][N:4]C([C:3])=[O:5]>>[*:1][S]([C:3])([N:4])=[O:5]
[*:1][C:3]([N:4])=[O:5]>>[*:1][N]1[C:3][C:4][O:5][C][C]1
[*:1][C:3]([N:2])=[O:6]>>[*:1][N:2]1[C:3][C]2([C][O:6][C]2)[C]1
[*:1][C:3]([N:2])=[O:5]>>[*:1][N:2][C:3]1[C][O:5][C]1
[*:1][C:2][c]1[n:4][c:9][c:8]n1[C:10]>>[*:1][C:2][C][N:4][C](=[O])[O][C:8]([C:9])([C:10])[C]
[*:1][N:2][C:3][c:4]1[c:5][c:6][c:7]([*:8])[c:9][c:10]1>>[*:1][N:2][C:3][C@H:4]1[C:5][C:6][C@H:7]([*:8])[C:9][C:10]1
[*:6][N:5]Cc1[c:4][c:3][c:2]([*:1])[c:8][c:7]1>>[*:1][C:2]1[C:3][C:4][N:5]([*:6])[C:7][C:8]1
[*:1][C:2]([C:4])=[O:3]>>[*:1][C:2]([O:3])[C:4]([F])([F])[F]
[*:1][C:2]=C>>[*:1][C:2][Cl]
[*:1][C:2][C:3]#[C:4]>>[*:1][C:2][C:3]1[C:4][O]1
[*:1]O[S:3]([N:4])(=[O:5])=[O:6]>>[*:1][N][S:3]([C:4])(=[O:5])=[O:6]
[*:1][N:2][C:3][c:4]1cc[c:6][c][c:5]1>>[*:1][N:2][C:3][C:4][C:5][C:6]
[c:1]1[c:4]n[c:3][n][c:2]1>>[C:1]1[C:2][N:3][C:4]1
[*:1][C:2](=[O:3])[N:4]1[C:5][C:6][C:8][C:9]1>>[*:1][C:2](=[O:3])[N:4]1[C:5][C:6][C][C:8][C:9]1
[*:1][C:2](=[O:3])[c:4]1[c:5]c[c:6][c:7][c:8]1>>[*:1][C:2](=[O:3])[C:4]1[C:5][C:6][C:7][C:8]1
[*:1][C:2](=[O:3])[c:4]1[c:5][c:6][c:7][c:8][c:9]1>>[*:1][C:2](=[O:3])[C:4]1[C:5][C:6][C:7][C:8][C:9]1
[N:5]1[C:4][C:3][C:2]([*:1])[c:11]2[c:10][c:9][c:8][c:7][c:6]21>>[*:1][N:2]1[C:3][C:4][N:5][C@H:6]2[C:7][C:8][C:9][C:10][C@@H:11]12
[*:1][B:2]([O:3])[O:10]>>[*:1][B:2]1[O:3][C]([C])([C])[C]([C])([C])[O:10]1
[N:1][C:2](=[O:3])[c:4]1[c:5][c:6][c:7][c:8][c:9]1>>[N:1][C:2](=[O:3])[C@@H:4]1[C:5][C@H:6]2[C:7][C:8][C@@H:9]1[O]2
[c:1]1[c:2][c:3][c:4][c:5][c:6]1>>[C:1]1[C:2][C:3]2[C:4][C:5][C:6]1[C][C]2
[*:1][C:2]=[C:3]>>[*:1][C:2]1[C:3][C]1
[*:1][C:2]=[C:4]>>[*:1][C@@H:2]([F])[C:4][F]
[*:1][C:3]#N>>[*:1][S]([C:3])(=[O])=[O]
[*:1][C:3]#[N:4]>>[*:1][S]([C:3])(=[N:4])=[O]
[*:1][C:2]#N>>[*:1][C:2]([C])([C])[O]
[*:1][C:2]#N>>[*:1][C:2]([C])[O]
[*:6][c:5]1[c:4][c:3][c:2]([*:1])[c:8][c:7]1>>[*:1][C@H:2]1[C:3][C:4][C@H:5]([*:6])[C:7][C:8]1
