Original_Molecule_SMILES,Reaction_SMARTS,Product_SMILES
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1[c:3][c:7][c:4][c:5][c:6]1>>[*:1][C:2][C:3][C:4][C:5][C:6][C:7],CCC(C#N)CC(CF)COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1[c:3][c:7][c:4][c:5][c:6]1>>[*:1][C:2][C:3][C:4][C:5][C:6][C:7],N#CCC(CCCCF)COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1c[c:6][c:5][c:4][c:3]1>>[*:1][C:2][C:3][C:4][C:5][C:6],CC(C#N)CC(F)CCOc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1c[c:6][c:5][c:4][c:3]1>>[*:1][C:2][C:3][C:4][C:5][C:6],CC(COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1)C(F)CCC#N
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1c[c:6][c:5][c:4][c:3]1>>[*:1][C:2][C:3][C:4][C:5][C:6],N#CCCCC(CF)COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]C[c:2]1[c:3][c:4][c:5]c[c:6]1>>[*:1][C:2]1[C:3][C:4][C:5][C:6]1,N#CC1CC(F)C(Oc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]C[c:2]1[c:3][c:4][c:5]c[c:6]1>>[*:1][C:2]1[C:3][C:4][C:5][C:6]1,N#CC1CCC(Oc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C1F
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]C[c:2]1[c:3][c:4][c:5][c:6]n1>>[*:1][C:2]1[C:3][C:4][C:5][C:6]1,CC[NH+](CCC1CCCC1OCc1ccc(C#N)cc1F)Cc1nc2ccc(C(=O)[O-])cc2n1C[C@@H]1CCO1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1[c:3]c[c:5]c[c:4]1>>[*:1][C:2]([C:3])([C:4])[C:5],CC(CF)(CC#N)COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1[c:3]cc(C#N)[c:4][c:5]1>>[*:1][C:2]([C:3])([C:4])[C:5],CC(C)(CF)COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][C:4]#[N:6]>>[*:1][B]1[O][C:4][C][N:6][C][C][O]1,O=C([O-])c1ccc2nc(C[NH+]3CCC(c4cccc(OCc5ccc(B6OCCNCCO6)cc5F)n4)CC3)n(C[C@@H]3CCO3)c2c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]O[*:3]>>[*:1][N]([*:3])[C],CN(Cc1ccc(C#N)cc1F)c1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]O[*:4]>>[*:1][C][C][*:4],N#Cc1ccc(CCCc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][N:2][*:3]>>[*:1][N:2]([*:3])[C],C[N+]1(Cc2nc3ccc(C(=O)[O-])cc3n2C[C@@H]2CCO2)CCC(c2cccc(OCc3ccc(C#N)cc3F)n2)CC1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]N[*:4]>>[*:1][C][C][*:4],CCC(CCCCCc1nc2ccc(C(=O)[O-])cc2n1C[C@@H]1CCO1)c1cccc(OCc2ccc(C#N)cc2F)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][O:3]>>[*:1][C][O:3],N#Cc1ccc(CCOc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][O:3]>>[*:1][C][O:3],N#Cc1ccc(COCc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][O:3]>>[*:1][C][O:3],N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCCO4)CC3)n2)c(F)c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1[c:3][c:4][c:5][c:6][c:7]1>>[*:1][C:2]1[C:3][C:4][C:5][C:6][C:7]1,N#CC1CCC(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C(F)C1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]C[c:2]1[c:3][c:4][c:5][c:6][c:7]1>>[*:1][C:2]1[C:3][C:4][C:5][C:6][C:7]1,N#CC1CCC(Oc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C(F)C1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1c[c:6][c:5](C#N)[c:4][c:3]1>>[*:1][C:2][C:3]1[C:4][C:5][C:6][O]1,O=C([O-])c1ccc2nc(C[NH+]3CCC(c4cccc(OCCC5(F)CCCO5)n4)CC3)n(C[C@@H]3CCO3)c2c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]c1[c:6][c:4][c:3](C#[N:2])[c:7][c:8]1>>[*:1][N:2]1[C:3][C:4][N]([C:6])[C:7][C:8]1,O=C([O-])c1ccc2nc(C[NH+]3CCC(c4cccc(OCN5CCN(CF)CC5)n4)CC3)n(C[C@@H]3CCO3)c2c1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1]c1[c:6][c:4][c:3](C#[N:2])[c:7][c:8]1>>[*:1][N:2]1[C:3][C:4][N]([C:6])[C:7][C:8]1,CN1CCN(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C(F)C1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:2]1[c:3]c[c:6][c:5](F)[c:8]1>>[*:1][C:2]1[C:3][N]([C:5]([C:6])=[O])[C:8]1,N#CC1CN(C(=O)CCOc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:5]1[c:4][c:3][c:9][c:8][c:6]1>>[*:1][N]1[C:3][C:4][C:5]([C:6][O])[C:8][C:9]1,N#CC1CC(CO)C(F)CN1COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:5]1[c:4][c:3][c:9][c:8][c:6]1>>[*:1][N]1[C:3][C:4][C:5]([C:6][O])[C:8][C:9]1,N#CC1CC(C(O)F)CCN1COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:5]1[c:4][c:3][c:9][c:8][c:6]1>>[*:1][N]1[C:3][C:4][C:5]([C:6][O])[C:8][C:9]1,N#CN1CCC(CO)C(F)C1COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:5]1[c:4][c:3][c:9][c:8][c:6]1>>[*:1][N]1[C:3][C:4][C:5]([C:6][O])[C:8][C:9]1,N#CN1C(F)CC(CO)CC1COc1cccc(C2CC[NH+](Cc3nc4ccc(C(=O)[O-])cc4n3C[C@@H]3CCO3)CC2)n1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:5]1[c:4][c:3][c:9][c:8][c:6]1>>[*:1][N]1[C:3][C:4][C:5]([C:6][O])[C:8][C:9]1,N#CC1CN(F)CC(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C1CO
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:5]1[c:4][c:3][c:9][c:8][c:6]1>>[*:1][N]1[C:3][C:4][C:5]([C:6][O])[C:8][C:9]1,N#CC1CC(C(O)COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)CCN1F
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:6]1[c:3][c:4][c:5][c:7][c:8]1>>[*:1][N]1[C:3][C:4][C:5]([C:6])[C:7][C:8]1,CC1(C#N)CCN(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C(F)C1
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:6]1[c:3][c:4][c:5][c:7][c:8]1>>[*:1][N]1[C:3][C:4][C:5]([C:6])[C:7][C:8]1,CC1(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)CCN(C#N)CC1F
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:6]1[c:3][c:4][c:5][c:7][c:8]1>>[*:1][N]1[C:3][C:4][C:5]([C:6])[C:7][C:8]1,CC1CC(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)N(F)CC1C#N
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:6]1[c:4][c:3][c:12][c:11][c:5]1>>[*:1][N]1[C:3][C:4][C:5]([C:6](=[O])[O][C][C])[C:11][C:12]1,CCOC(=O)C1CC(C#N)N(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)CC1F
N#Cc1ccc(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,[*:1][c:6]1[c:4][c:3][c:12][c:11][c:5]1>>[*:1][N]1[C:3][C:4][C:5]([C:6](=[O])[O][C][C])[C:11][C:12]1,CCOC(=O)C1(F)CCN(COc2cccc(C3CC[NH+](Cc4nc5ccc(C(=O)[O-])cc5n4C[C@@H]4CCO4)CC3)n2)C(C#N)C1
